CIFNumber,Customer Name,Customer-since,DateofBirth,Gender,City,Existingloans-to-income-ratio,Creditscore,Monthly-Income,Profession,Loan-productname,Date-loan-given,Loan-Tenor-in-months,NO of Months From Loan Date, LoanAmount , InterestRate , EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,Numberofcallsmade,Response, Lessthan30daysoutstandingprincipalplusinterest , 30ormorebutlessthan60daysoutstandingprincipalplusinterest , 60ormorebutlessthan90daysoutstandingprincipalplusinterest , 90ormorebutlessthan 180daysoutstandingprincipalplusinterest , 180daysormoreoutstandingprincipalplusinterest ,Interestaccrualstopdate,FB Field 1,FB Field 2,FB Field 3,Twitter Field 1,Twitter Field 2,LInkedIn 1,LinkedIn2
11001075,Kapila Rege,2/28/2003,7/3/1965,Male,Mumbai,20,820,upto 15000,Home Maker,Home Loan,3/1/2014,18,19," 583,587.00 ", 11.50 ," (35,452.93)", 16.00 , 4.00 , 12.00 , 3.00 ," 97,264.50 "," (203,623.30)",0,N/A, -   , -   ," (106,358.80)", -   , -   ,,,,,,,,
11001075,Kapila Rege,2/28/2003,7/3/1965,Male,Mumbai,7,707,upto 15000,Home Maker,Personal Loan,2/27/2015,36,8," 129,547.00 ", 12.50 ," (4,333.82)", 8.00 , -   , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001090,Varuna Grover,5/13/2007,9/22/1980,Male,Mumbai,16,510,25k to 40k,Home Maker,Home Loan,9/28/2014,24,13," 601,827.00 ", 11.50 ," (28,189.77)", 11.00 , 9.00 , 2.00 , 2.00 ," 50,152.25 "," (106,531.78)",0,N/A, -   ," (56,379.53)", -   , -   , -   ,,,,,,,,
11001090,Varuna Grover,5/13/2007,9/22/1980,Male,Mumbai,7,795,25k to 40k,Home Maker,Personal Loan,6/30/2013,18,28," 75,080.00 ", 12.50 ," (4,595.99)", 28.00 , 5.00 , 23.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001105,Atman Khandke,9/2/2006,1/3/1988,Male,Mumbai,19,556,60k to 100k,Home Maker,Home Loan,3/27/2015,18,7," 508,524.00 ", 11.50 ," (30,892.85)", 5.00 , 5.00 , -   , 2.00 ," 56,502.67 "," (118,288.37)",0,N/A, -   ," (61,785.71)", -   , -   , -   ,,,,,,,,
11001105,Atman Khandke,9/2/2006,1/3/1988,Male,Mumbai,19,596,60k to 100k,Home Maker,Personal Loan,10/5/2013,36,24," 182,532.00 ", 12.50 ," (6,106.36)", 22.00 , 17.00 , 5.00 , 2.00 ," 10,140.67 "," (22,353.38)",0,N/A, -   ," (12,212.71)", -   , -   , -   ,,,,,,,,
11001120,Bhaskar Varghese,3/12/2001,5/7/1991,Female,Mumbai,2,524,60k to 100k,Home Maker,Auto Loan,8/27/2013,18,26," 360,043.00 ", 10.50 ," (21,706.11)", 25.00 , 9.00 , 16.00 , 1.00 ," 20,002.39 "," (41,708.50)",0,N/A," (21,706.11)", -   , -   , -   , -   ,,,,,,,,
11001120,Bhaskar Varghese,3/12/2001,5/7/1991,Female,Mumbai,1,714,60k to 100k,Home Maker,Personal Loan,5/12/2013,18,29," 139,937.00 ", 12.50 ," (8,566.18)", 28.00 , 15.00 , 13.00 , 1.00 ," 7,774.28 "," (16,340.46)",0,N/A," (8,566.18)", -   , -   , -   , -   ,,,,,,,,
11001135,Archana Issac,9/17/2007,9/13/1989,Male,Mumbai,1,812,15k to 25k,Small Bussiness Owner,Auto Loan,3/26/2015,18,7," 302,427.00 ", 10.50 ," (18,232.58)", 6.00 , 2.00 , 4.00 , 1.00 ," 16,801.50 "," (35,034.08)",0,N/A," (18,232.58)", -   , -   , -   , -   ,,,,,,,,
11001135,Archana Issac,9/17/2007,9/13/1989,Male,Mumbai,2,540,15k to 25k,Small Bussiness Owner,Personal Loan,4/19/2014,18,18," 75,312.00 ", 12.50 ," (4,610.19)", 18.00 , 14.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001150,Bhavata Morar,8/18/2014,6/13/1983,Male,Mumbai,7,743,100k to 200k,Bussiness Owner,Home Loan,5/5/2013,30,29," 608,670.00 ", 11.50 ," (23,441.50)", 26.00 , 10.00 , 16.00 , 3.00 ," 60,867.00 "," (131,191.51)",0,N/A, -   , -   ," (70,324.51)", -   , -   ,,,,,,,,
11001150,Bhavata Morar,8/18/2014,6/13/1983,Male,Mumbai,3,636,100k to 200k,Bussiness Owner,Personal Loan,3/28/2013,30,31," 189,360.00 ", 12.50 ," (7,382.09)", 28.00 , -   , 28.00 , 3.00 ," 18,936.00 "," (41,082.26)",0,N/A, -   , -   ," (22,146.26)", -   , -   ,,,,,,,,
11001165,Frashegird Devar,8/25/2001,7/13/1958,Male,Mumbai,10,542,100k to 200k,Bussiness Owner,Auto Loan,10/16/2014,30,12," 441,979.00 ", 10.50 ," (16,814.79)", 12.00 , 7.00 , 5.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001165,Frashegird Devar,8/25/2001,7/13/1958,Male,Mumbai,4,806,100k to 200k,Bussiness Owner,Personal Loan,11/15/2013,18,23," 179,764.00 ", 12.50 ," (11,004.18)", 23.00 , 12.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001180,Ekram Mehta,12/26/2002,4/12/1991,Female,Mumbai,15,708,100k to 200k,Bussiness Owner,Auto Loan,8/10/2014,36,14," 254,985.00 ", 10.50 ," (8,287.64)", 11.00 , 1.00 , 10.00 , 3.00 ," 21,248.75 "," (46,111.66)",0,N/A, -   , -   ," (24,862.91)", -   , -   ,,,,,,,,
11001180,Ekram Mehta,12/26/2002,4/12/1991,Female,Mumbai,20,596,100k to 200k,Bussiness Owner,Personal Loan,6/1/2015,30,4," 163,999.00 ", 12.50 ," (6,393.40)", 2.00 , 1.00 , 1.00 , 2.00 ," 10,933.27 "," (23,720.07)",0,N/A, -   ," (12,786.81)", -   , -   , -   ,,,,,,,,
11001195,Frashegird Jaggi,4/22/2003,2/12/1980,Male,Mumbai,10,613,40k to 60k,Public Sector Employee,Auto Loan,12/8/2012,24,34," 337,178.00 ", 10.50 ," (15,636.98)", 34.00 , 30.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001195,Frashegird Jaggi,4/22/2003,2/12/1980,Male,Mumbai,5,582,40k to 60k,Public Sector Employee,Personal Loan,10/9/2014,18,12," 113,864.00 ", 12.50 ," (6,970.14)", 9.00 , 7.00 , 2.00 , 3.00 ," 18,977.33 "," (39,887.74)",0,N/A, -   , -   ," (20,910.41)", -   , -   ,,,,,,,,
11001210,Shesha Sandhu,11/9/2001,4/23/1976,Male,Mumbai,8,640,upto 15000,Private Sector Employee,Auto Loan,7/16/2013,36,27," 434,905.00 ", 10.50 ," (14,135.48)", 27.00 , 17.00 , 10.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001210,Shesha Sandhu,11/9/2001,4/23/1976,Male,Mumbai,4,868,upto 15000,Private Sector Employee,Personal Loan,7/16/2014,36,15," 152,557.00 ", 12.50 ," (5,103.58)", 14.00 , 14.00 , -   , 1.00 ," 4,237.69 "," (9,341.28)",0,N/A," (5,103.58)", -   , -   , -   , -   ,,,,,,,,
11001225,Kapila Sharma,11/19/2005,3/20/1992,Male,Mumbai,9,621,upto 15000,Private Sector Employee,Home Loan,2/4/2013,36,32," 520,455.00 ", 11.50 ," (17,162.53)", 31.00 , 7.00 , 24.00 , 1.00 ," 14,457.08 "," (31,619.61)",0,N/A," (17,162.53)", -   , -   , -   , -   ,,,,,,,,
11001225,Kapila Sharma,11/19/2005,3/20/1992,Male,Mumbai,4,675,upto 15000,Private Sector Employee,Personal Loan,7/31/2014,18,15," 191,096.00 ", 12.50 ," (11,697.86)", 13.00 , 3.00 , 10.00 , 2.00 ," 21,232.89 "," (44,628.61)",0,N/A, -   ," (23,395.72)", -   , -   , -   ,,,,,,,,
11001240,Kumara Shenoy,12/4/2004,7/22/1970,Female,Mumbai,7,666,upto 15000,Private Sector Employee,Auto Loan,9/8/2013,36,25," 272,673.00 ", 10.50 ," (8,862.54)", 22.00 , 10.00 , 12.00 , 3.00 ," 22,722.75 "," (49,310.37)",0,N/A, -   , -   ," (26,587.62)", -   , -   ,,,,,,,,
11001240,Kumara Shenoy,12/4/2004,7/22/1970,Female,Mumbai,8,853,upto 15000,Private Sector Employee,Personal Loan,7/7/2015,36,3," 126,029.00 ", 12.50 ," (4,216.13)", -   , -   , -   , 3.00 ," 10,502.42 "," (23,150.80)",0,N/A, -   , -   ," (12,648.38)", -   , -   ,,,,,,,,
11001255,Pitar Kalla,1/22/2013,4/5/1985,Male,Mumbai,6,570,15k to 25k,Small Bussiness Owner,Home Loan,4/2/2014,30,18," 528,753.00 ", 11.50 ," (20,363.69)", 17.00 , 6.00 , 11.00 , 1.00 ," 17,625.10 "," (37,988.79)",0,N/A," (20,363.69)", -   , -   , -   , -   ,,,,,,,,
11001255,Pitar Kalla,1/22/2013,4/5/1985,Male,Mumbai,20,550,15k to 25k,Small Bussiness Owner,Personal Loan,7/23/2014,18,15," 157,755.00 ", 12.50 ," (9,656.90)", 14.00 , 13.00 , 1.00 , 1.00 ," 8,764.17 "," (18,421.07)",0,N/A," (9,656.90)", -   , -   , -   , -   ,,,,,,,,
11001270,Agnimukha Khalfe,6/3/2005,9/23/1982,Male,Mumbai,7,609,100k to 200k,Bussiness Owner,Home Loan,12/12/2012,24,34," 698,665.00 ", 11.50 ," (32,725.69)", 31.00 , 26.00 , 5.00 , 3.00 ," 87,333.13 "," (185,510.19)",0,N/A, -   , -   ," (98,177.07)", -   , -   ,,,,,,,,
11001270,Agnimukha Khalfe,6/3/2005,9/23/1982,Male,Mumbai,20,709,100k to 200k,Bussiness Owner,Personal Loan,1/20/2013,30,33," 70,396.00 ", 12.50 ," (2,744.35)", 33.00 , 31.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001285,Agneya Minhas,8/11/2014,6/18/1977,Male,Mumbai,0,900,15k to 25k,Small Bussiness Owner,Home Loan,1/18/2013,18,33," 645,447.00 ", 11.50 ," (39,210.93)", 30.00 , 9.00 , 21.00 , 3.00 ," 107,574.50 "," (225,207.29)",0,N/A, -   , -   ," (117,632.79)", -   , -   ,,,,,,,,
11001285,Agneya Minhas,8/11/2014,6/18/1977,Male,Mumbai,3,582,15k to 25k,Small Bussiness Owner,Personal Loan,6/11/2013,18,28," 104,665.00 ", 12.50 ," (6,407.02)", 26.00 , 22.00 , 4.00 , 2.00 ," 11,629.44 "," (24,443.49)",0,N/A, -   ," (12,814.05)", -   , -   , -   ,,,,,,,,
11001300,Adharma Ganjoo,6/14/2002,11/28/1986,Female,Mumbai,16,545,100k to 200k,Bussiness Owner,Home Loan,7/11/2013,24,27," 672,405.00 ", 11.50 ," (31,495.66)", 26.00 , 8.00 , 18.00 , 1.00 ," 28,016.88 "," (59,512.54)",0,N/A," (31,495.66)", -   , -   , -   , -   ,,,,,,,,
11001300,Adharma Ganjoo,6/14/2002,11/28/1986,Female,Mumbai,10,694,100k to 200k,Bussiness Owner,Personal Loan,8/31/2014,24,14," 91,712.00 ", 12.50 ," (4,338.65)", 13.00 , 3.00 , 10.00 , 1.00 ," 3,821.33 "," (8,159.98)",0,N/A," (4,338.65)", -   , -   , -   , -   ,,,,,,,,
11001315,Yamal Dass,5/15/2005,3/25/1991,Male,Mumbai,10,598,40k to 60k,Public Sector Employee,Auto Loan,6/16/2015,30,4," 390,717.00 ", 10.50 ," (14,864.56)", 2.00 , 1.00 , 1.00 , 2.00 ," 26,047.80 "," (55,776.92)",0,N/A, -   ," (29,729.12)", -   , -   , -   ,,,,,,,,
11001315,Yamal Dass,5/15/2005,3/25/1991,Male,Mumbai,2,568,40k to 60k,Public Sector Employee,Personal Loan,6/5/2014,36,16," 95,762.00 ", 12.50 ," (3,203.59)", 15.00 , 12.00 , 3.00 , 1.00 ," 2,660.06 "," (5,863.64)",0,N/A," (3,203.59)", -   , -   , -   , -   ,,,,,,,,
11001330,Dasras Sarma,11/10/2007,8/25/1972,Male,Mumbai,16,663,40k to 60k,Public Sector Employee,Auto Loan,1/22/2014,18,21," 499,965.00 ", 10.50 ," (30,141.67)", 18.00 , 9.00 , 9.00 , 3.00 ," 83,327.50 "," (173,752.50)",0,N/A, -   , -   ," (90,425.00)", -   , -   ,,,,,,,,
11001330,Dasras Sarma,11/10/2007,8/25/1972,Male,Mumbai,12,657,40k to 60k,Public Sector Employee,Personal Loan,5/7/2013,18,29," 55,613.00 ", 12.50 ," (3,404.33)", 26.00 , 17.00 , 9.00 , 3.00 ," 9,268.83 "," (19,481.81)",0,N/A, -   , -   ," (10,212.98)", -   , -   ,,,,,,,,
11001345,Priyamkara Ghate,6/12/2011,5/19/1963,Male,Mumbai,8,599,25k to 40k,Private Sector Employee,Auto Loan,2/12/2015,36,8," 401,236.00 ", 10.50 ," (13,041.15)", 8.00 , 4.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001345,Priyamkara Ghate,6/12/2011,5/19/1963,Male,Mumbai,20,577,25k to 40k,Private Sector Employee,Personal Loan,1/9/2015,24,9," 53,344.00 ", 12.50 ," (2,523.56)", 7.00 , 7.00 , -   , 2.00 ," 4,445.33 "," (9,492.46)",0,N/A, -   ," (5,047.12)", -   , -   , -   ,,,,,,,,
11001360,Visha Muni,6/22/2005,10/20/1966,Female,Mumbai,11,858,60k to 100k,Private Sector Employee,Auto Loan,3/3/2015,24,7," 256,472.00 ", 10.50 ," (11,894.16)", 5.00 , 1.00 , 4.00 , 2.00 ," 21,372.67 "," (45,160.98)",0,N/A, -   ," (23,788.31)", -   , -   , -   ,,,,,,,,
11001360,Visha Muni,6/22/2005,10/20/1966,Female,Mumbai,9,633,60k to 100k,Private Sector Employee,Personal Loan,1/9/2015,30,9," 78,432.00 ", 12.50 ," (3,057.63)", 7.00 , 1.00 , 6.00 , 2.00 ," 5,228.80 "," (11,344.05)",0,N/A, -   ," (6,115.25)", -   , -   , -   ,,,,,,,,
11001375,Bhima Jaggi,5/13/2006,10/24/1968,Male,Mumbai,11,577,100k to 200k,Bussiness Owner,Auto Loan,7/7/2013,24,27," 279,692.00 ", 10.50 ," (12,971.01)", 27.00 , 19.00 , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001375,Bhima Jaggi,5/13/2006,10/24/1968,Male,Mumbai,14,672,100k to 200k,Bussiness Owner,Personal Loan,4/8/2015,30,6," 76,896.00 ", 12.50 ," (2,997.75)", 4.00 , 1.00 , 3.00 , 2.00 ," 5,126.40 "," (11,121.89)",0,N/A, -   ," (5,995.49)", -   , -   , -   ,,,,,,,,
11001390,Raktavira Doshi,1/20/2005,7/24/1986,Male,Mumbai,20,788,40k to 60k,Public Sector Employee,Auto Loan,2/22/2014,18,20," 428,522.00 ", 10.50 ," (25,834.54)", 18.00 , 3.00 , 15.00 , 2.00 ," 47,613.56 "," (99,282.64)",0,N/A, -   ," (51,669.09)", -   , -   , -   ,,,,,,,,
11001390,Raktavira Doshi,1/20/2005,7/24/1986,Male,Mumbai,16,787,40k to 60k,Public Sector Employee,Personal Loan,4/25/2014,36,18," 156,161.00 ", 12.50 ," (5,224.15)", 18.00 , 18.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001405,Arav Venkatesh,5/31/2003,1/3/1996,Male,Mumbai,4,880,upto 15000,Private Sector Employee,Home Loan,9/10/2013,36,25," 659,642.00 ", 11.50 ," (21,752.36)", 22.00 , 13.00 , 9.00 , 3.00 ," 54,970.17 "," (120,227.24)",0,N/A, -   , -   ," (65,257.08)", -   , -   ,,,,,,,,
11001405,Arav Venkatesh,5/31/2003,1/3/1996,Male,Mumbai,8,725,upto 15000,Private Sector Employee,Personal Loan,6/6/2015,36,4," 138,463.00 ", 12.50 ," (4,632.09)", 1.00 , 1.00 , -   , 3.00 ," 11,538.58 "," (25,434.85)",0,N/A, -   , -   ," (13,896.27)", -   , -   ,,,,,,,,
11001420,Tayib Warrior,2/10/2009,4/26/1982,Female,Mumbai,14,838,40k to 60k,Public Sector Employee,Auto Loan,4/6/2015,18,6," 490,467.00 ", 10.50 ," (29,569.06)", 4.00 , 3.00 , 1.00 , 2.00 ," 54,496.33 "," (113,634.45)",0,N/A, -   ," (59,138.11)", -   , -   , -   ,,,,,,,,
11001420,Tayib Warrior,2/10/2009,4/26/1982,Female,Mumbai,13,548,40k to 60k,Public Sector Employee,Personal Loan,2/12/2014,30,20," 173,428.00 ", 12.50 ," (6,760.99)", 19.00 , 19.00 , -   , 1.00 ," 5,780.93 "," (12,541.92)",0,N/A," (6,760.99)", -   , -   , -   , -   ,,,,,,,,
11001435,Lusila Pandit,4/6/2007,1/7/1965,Male,Mumbai,2,631,40k to 60k,Public Sector Employee,Auto Loan,1/24/2014,18,21," 494,495.00 ", 10.50 ," (29,811.89)", 18.00 , 18.00 , -   , 3.00 ," 82,415.83 "," (171,851.52)",0,N/A, -   , -   ," (89,435.68)", -   , -   ,,,,,,,,
11001435,Lusila Pandit,4/6/2007,1/7/1965,Male,Mumbai,8,505,40k to 60k,Public Sector Employee,Personal Loan,6/7/2013,24,28," 173,516.00 ", 12.50 ," (8,208.57)", 28.00 , 5.00 , 23.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001450,Sajag Raval,8/22/2006,5/16/1976,Male,Mumbai,4,751,100k to 200k,Bussiness Owner,Auto Loan,2/4/2014,30,20," 258,814.00 ", 10.50 ," (9,846.40)", 20.00 , 9.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001450,Sajag Raval,8/22/2006,5/16/1976,Male,Mumbai,4,852,100k to 200k,Bussiness Owner,Personal Loan,12/29/2012,30,34," 102,658.00 ", 12.50 ," (4,002.06)", 33.00 , 3.00 , 30.00 , 1.00 ," 3,421.93 "," (7,423.99)",0,N/A," (4,002.06)", -   , -   , -   , -   ,,,,,,,,
11001465,Shaitan Dwivedi,8/7/2004,1/18/1985,Male,Mumbai,16,617,60k to 100k,Private Sector Employee,Auto Loan,3/21/2014,36,19," 386,368.00 ", 10.50 ," (12,557.90)", 17.00 , 15.00 , 2.00 , 2.00 ," 21,464.89 "," (46,580.70)",0,N/A, -   ," (25,115.81)", -   , -   , -   ,,,,,,,,
11001465,Shaitan Dwivedi,8/7/2004,1/18/1985,Male,Mumbai,14,736,60k to 100k,Private Sector Employee,Personal Loan,3/30/2014,36,19," 192,662.00 ", 12.50 ," (6,445.24)", 16.00 , 6.00 , 10.00 , 3.00 ," 16,055.17 "," (35,390.89)",0,N/A, -   , -   ," (19,335.73)", -   , -   ,,,,,,,,
11001480,Sajag Poddar,9/27/2001,8/15/1977,Female,Mumbai,17,653,40k to 60k,Public Sector Employee,Auto Loan,6/24/2015,36,4," 288,102.00 ", 10.50 ," (9,364.02)", 1.00 , -   , 1.00 , 3.00 ," 24,008.50 "," (52,100.56)",0,N/A, -   , -   ," (28,092.06)", -   , -   ,,,,,,,,
11001480,Sajag Poddar,9/27/2001,8/15/1977,Female,Mumbai,9,885,40k to 60k,Public Sector Employee,Personal Loan,12/9/2012,36,34," 158,636.00 ", 12.50 ," (5,306.95)", 33.00 , 25.00 , 8.00 , 1.00 ," 4,406.56 "," (9,713.50)",0,N/A," (5,306.95)", -   , -   , -   , -   ,,,,,,,,
11001495,Lusila Nakhtare,1/2/2011,5/9/1964,Male,Mumbai,10,523,100k to 200k,Bussiness Owner,Home Loan,9/7/2014,18,13," 552,283.00 ", 11.50 ," (33,551.21)", 10.00 , 2.00 , 8.00 , 3.00 ," 92,047.17 "," (192,700.81)",0,N/A, -   , -   ," (100,653.64)", -   , -   ,,,,,,,,
11001495,Lusila Nakhtare,1/2/2011,5/9/1964,Male,Mumbai,5,714,100k to 200k,Bussiness Owner,Personal Loan,4/27/2015,30,6," 162,778.00 ", 12.50 ," (6,345.80)", 6.00 , 2.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001510,Shaitan Mudaliyar,2/12/2008,7/15/1971,Male,Mumbai,10,539,15k to 25k,Small Bussiness Owner,Auto Loan,12/22/2012,18,34," 448,458.00 ", 10.50 ," (27,036.44)", 33.00 , -   , 33.00 , 1.00 ," 24,914.33 "," (51,950.77)",0,N/A," (27,036.44)", -   , -   , -   , -   ,,,,,,,,
11001510,Shaitan Mudaliyar,2/12/2008,7/15/1971,Male,Mumbai,7,678,15k to 25k,Small Bussiness Owner,Personal Loan,6/30/2013,30,28," 79,403.00 ", 12.50 ," (3,095.48)", 27.00 , 8.00 , 19.00 , 1.00 ," 2,646.77 "," (5,742.25)",0,N/A," (3,095.48)", -   , -   , -   , -   ,,,,,,,,
11001525,Takshaka Varghese,5/27/2003,7/14/1956,Male,Mumbai,2,840,15k to 25k,Small Bussiness Owner,Home Loan,6/14/2013,24,28," 515,174.00 ", 11.50 ," (24,130.91)", 26.00 , 13.00 , 13.00 , 2.00 ," 42,931.17 "," (91,192.99)",0,N/A, -   ," (48,261.83)", -   , -   , -   ,,,,,,,,
11001525,Takshaka Varghese,5/27/2003,7/14/1956,Male,Mumbai,11,547,15k to 25k,Small Bussiness Owner,Personal Loan,9/18/2014,30,13," 141,433.00 ", 12.50 ," (5,513.68)", 11.00 , -   , 11.00 , 2.00 ," 9,428.87 "," (20,456.23)",0,N/A, -   ," (11,027.36)", -   , -   , -   ,,,,,,,,
11001540,Shami Kamath,4/11/2012,1/19/1956,Female,Mumbai,7,650,100k to 200k,Bussiness Owner,Auto Loan,8/11/2013,18,26," 497,459.00 ", 10.50 ," (29,990.59)", 24.00 , 19.00 , 5.00 , 2.00 ," 55,273.22 "," (115,254.40)",0,N/A, -   ," (59,981.17)", -   , -   , -   ,,,,,,,,
11001540,Shami Kamath,4/11/2012,1/19/1956,Female,Mumbai,18,836,100k to 200k,Bussiness Owner,Personal Loan,3/21/2013,30,31," 130,647.00 ", 12.50 ," (5,093.20)", 29.00 , 9.00 , 20.00 , 2.00 ," 8,709.80 "," (18,896.19)",0,N/A, -   ," (10,186.39)", -   , -   , -   ,,,,,,,,
11001555,Ganesh kaushal,4/30/2012,2/24/1978,Male,Mumbai,9,705,15k to 25k,Small Bussiness Owner,Home Loan,12/9/2013,36,22," 546,603.00 ", 11.50 ," (18,024.78)", 22.00 , 17.00 , 5.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
11001555,Ganesh kaushal,4/30/2012,2/24/1978,Male,Mumbai,17,804,15k to 25k,Small Bussiness Owner,Personal Loan,2/23/2014,36,20," 74,063.00 ", 12.50 ," (2,477.68)", 19.00 , 15.00 , 4.00 , 1.00 ," 2,057.31 "," (4,534.98)",0,N/A," (2,477.68)", -   , -   , -   , -   ,,,,,,,,
