CIFNumber,Customer Name,Existingloans-to-income-ratio,Creditscore,Loan-Tenor-in-months,NO of Months From Loan Date, EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,SQ
11001345,Priyamkara Ghate,8,599,36,8,"-13,041.15",8,4,4,0,0.00,0.00,6
11001345,Priyamkara Ghate,20,577,24,9,"-2,523.56",7,7,0.00,2,"4,445.33","-9,492.46",5
11001360,Visha Muni,11,858,24,7,"-11,894.16",5,1,4,2,"21,372.67","-45,160.98",6
11001360,Visha Muni,9,633,30,9,"-3,057.63",7,1,6,2,"5,228.80","-11,344.05",5
11001375,Bhima Jaggi,11,577,24,27,"-12,971.01",27,19,8,0,0.00,0.00,6
11001375,Bhima Jaggi,14,672,30,6,"-2,997.75",4,1,3,2,"5,126.40","-11,121.89",2
11001390,Raktavira Doshi,20,788,18,20,"-25,834.54",18,3,15,2,"47,613.56","-99,282.64",1
11001390,Raktavira Doshi,16,787,36,18,"-5,224.15",18,18,0.00,0,0.00,0.00,5
11001405,Arav Venkatesh,4,880,36,25,"-21,752.36",22,13,9,3,"54,970.17","-120,227.24",6
11001405,Arav Venkatesh,8,725,36,4,"-4,632.09",1,1,0.00,3,"11,538.58","-25,434.85",6
11001420,Tayib Warrior,14,838,18,6,"-29,569.06",4,3,1,2,"54,496.33","-113,634.45",2
11001420,Tayib Warrior,13,548,30,20,"-6,760.99",19,19,0.00,1,"5,780.93","-12,541.92",1
11001435,Lusila Pandit,2,631,18,21,"-29,811.89",18,18,0.00,3,"82,415.83","-171,851.52",5
11001435,Lusila Pandit,8,505,24,28,"-8,208.57",28,5,23,0,0.00,0.00,6
11001450,Sajag Raval,4,751,30,20,"-9,846.40",20,9,11,0,0.00,0.00,2
11001450,Sajag Raval,4,852,30,34,"-4,002.06",33,3,30,1,"3,421.93","-7,423.99",1
11001465,Shaitan Dwivedi,16,617,36,19,"-12,557.90",17,15,2,2,"21,464.89","-46,580.70",6
11001465,Shaitan Dwivedi,14,736,36,19,"-6,445.24",16,6,10,3,"16,055.17","-35,390.89",2
11001480,Sajag Poddar,17,653,36,4,"-9,364.02",1,0.00,1,3,"24,008.50","-52,100.56",1
11001480,Sajag Poddar,9,885,36,34,"-5,306.95",33,25,8,1,"4,406.56","-9,713.50",5
11001495,Lusila Nakhtare,10,523,18,13,"-33,551.21",10,2,8,3,"92,047.17","-192,700.81",6
11001495,Lusila Nakhtare,5,714,30,6,"-6,345.80",6,2,4,0,0.00,0.00,2
11001510,Shaitan Mudaliyar,10,539,18,34,"-27,036.44",33,0.00,33,1,"24,914.33","-51,950.77",5
11001510,Shaitan Mudaliyar,7,678,30,28,"-3,095.48",27,8,19,1,"2,646.77","-5,742.25",6
11001525,Takshaka Varghese,2,840,24,28,"-24,130.91",26,13,13,2,"42,931.17","-91,192.99",6
11001525,Takshaka Varghese,11,547,30,13,"-5,513.68",11,0.00,11,2,"9,428.87","-20,456.23",7
11001540,Shami Kamath,7,650,18,26,"-29,990.59",24,19,5,2,"55,273.22","-115,254.40",7
11001540,Shami Kamath,18,836,30,31,"-5,093.20",29,9,20,2,"8,709.80","-18,896.19",8
11001555,Ganesh kaushal,9,705,36,22,"-18,024.78",22,17,5,0,0.00,0.00,9
11001555,Ganesh kaushal,17,804,36,20,"-2,477.68",19,15,4,1,"2,057.31","-4,534.98",6
11001570,Sachi Mammen,8,612,30,12,"-11,560.37",11,2,9,1,"10,128.87","-21,689.24",7
11001570,Sachi Mammen,17,509,18,6,"-3,500.43",6,2,4,0,0.00,0.00,8
11001585,Markandeya Gowda,4,509,36,6,"-9,373.02",5,5,0.00,1,"8,010.53","-17,383.55",9
11001585,Markandeya Gowda,18,795,18,16,"-8,282.51",14,8,6,2,"15,033.67","-31,598.70",6
11001600,Priyamkara Pandit,16,674,30,8,"-14,385.58",6,5,1,2,"25,208.47","-53,979.63",7
11001600,Priyamkara Pandit,0,900,18,11,"-11,499.65",10,5,5,1,"10,436.56","-21,936.20",8
11001615,Akshobhya Shere,9,585,18,4,"-18,366.12",2,2,0.00,2,"33,849.11","-70,581.35",9
11001615,Akshobhya Shere,2,767,18,14,"-11,745.30",11,6,5,3,"31,978.50","-67,214.40",6
11001630,Girish Kadakia,1,711,18,18,"-33,412.22",15,3,12,3,"91,665.83","-191,902.49",7
11001630,Girish Kadakia,6,629,30,29,"-7,186.70",26,0.00,26,3,"18,434.80","-39,994.89",8
11001645,Lakshmana Randhawa,5,718,36,13,"-8,905.60",13,0.00,13,0,0.00,0.00,9
11001645,Lakshmana Randhawa,11,786,30,16,"-4,557.86",13,7,6,3,"11,691.50","-25,365.09",6
11001660,Balarama Biswas,2,654,24,15,"-19,930.43",15,5,10,0,0.00,0.00,7
11001660,Balarama Biswas,4,661,24,10,"-5,437.17",7,0.00,7,3,"14,366.63","-30,678.14",8
11001675,Chander Rama,2,835,24,34,"-20,979.13",33,18,15,1,"18,848.75","-39,827.88",9
11001675,Chander Rama,9,849,36,15,"-3,254.84",13,13,0.00,2,"5,405.22","-11,914.90",8
11001690,Takshaka Om,5,838,24,25,"-15,102.31",22,6,16,3,"40,706.13","-86,013.06",9
11001690,Takshaka Om,16,655,24,6,"-3,415.59",3,3,0.00,3,"9,025.00","-19,271.76",6
11001705,Pavit Sandhu,1,841,18,15,"-41,653.14",12,9,3,3,"114,274.67","-239,234.10",7
11001705,Pavit Sandhu,15,599,30,9,"-3,308.80",7,6,1,2,"5,658.33","-12,275.94",8
11001720,Bodhi Pandey,9,838,36,27,"-8,354.33",26,23,3,1,"7,139.92","-15,494.25",9
11001720,Bodhi Pandey,12,819,30,8,"-5,411.15",5,4,1,3,"13,880.30","-30,113.76",9
11001735,Gulab Shergill,15,723,24,32,"-22,593.02",32,24,8,0,0.00,0.00,6
